         Time	     Pressure	       Length	       Height	
        8.0098        0.50343        44.8159        45.7188
         8.089       0.501668        44.9907        45.8435
        8.1668       0.499937        45.1635        45.9713
        8.2439        0.49826        45.3343        46.0977
         8.321       0.496626        45.5028        46.2222
        8.4003       0.495088        45.6725        46.3481
        8.4814       0.493724        45.8427        46.4763
        8.5633       0.492467        46.0111        46.6059
        8.6444       0.491216        46.1751        46.7342
         8.726       0.489965         46.924        46.8643
        8.8084       0.488732        47.0634        46.9978
        8.8922       0.487537        47.2086        47.1368
        8.9774       0.486412          47.36        47.2816
        9.0624       0.485301        47.5148        47.4297
        9.1462       0.484131         47.671        47.5794
        9.2291       0.482857        47.8289        47.7311
        9.3117       0.481453        47.9893        47.8857
        9.3943        0.47991        48.1524        49.1601
        9.4783       0.478358        48.3206        49.2726
        9.5634       0.476962        48.4926        49.3936
        9.6498       0.475651        48.6684        49.5218
        9.7364       0.474437        48.8443        49.6503
        9.8234       0.473308        49.0188        49.7775
        9.9114       0.472193        49.1918        49.9042
       10.0001       0.471031         49.363        50.0316
        10.089       0.469774        49.5315        50.1598
       10.1786       0.468456        49.6986        50.2893
       10.2679       0.467181        50.4457        50.4195
       10.3556       0.465997         50.582        50.5494
       10.4426       0.464881        50.7197        50.6805
       10.5297       0.463822        50.8601        50.8144
       10.6185       0.462762        51.0064        50.9538
       10.7093       0.461687        51.1594           51.1
          10.8       0.460597        51.3161        51.2499
       10.8916       0.459469        51.4782        51.4057
       10.9843       0.458355        51.6459        52.6508
       11.0789        0.45728        51.8201        52.7674
       11.1742       0.456255        51.9976         52.893
       11.2685       0.455221        52.1746         53.023
       11.3624       0.454122        52.3503        53.1525
        11.457       0.452921        52.5249        53.2808
       11.5515       0.451647        52.6957        53.4066
       11.6453       0.450338        52.8625        53.5311
       11.7386       0.449042        53.0255        53.6553
       11.8335        0.44781        53.1888        53.7818
       11.9296       0.446713        53.3521        53.9108
       12.0267       0.445724         54.089        54.0429
       12.1252       0.444811        54.2306        54.1792
       12.2235       0.443978        54.3748         54.318
       12.3212       0.443129        54.5217        54.4594
       12.4199       0.442208        54.6743        54.6064
       12.5196       0.441239        54.8329        54.7594
       12.6209       0.440231        54.9983        54.9194
       12.7203       0.439266         55.164        56.1612
       12.8183       0.438305        55.3299        56.2727
       12.9159       0.437311        55.4966        56.3909
       13.0139        0.43626        55.6651        56.5148
        13.114       0.435125        55.8367        56.6412
       13.2154       0.433937        56.0087        56.7687
       13.3173       0.432771        56.1787        56.8953
       13.4201       0.431698        56.3481        57.0211
       13.5242       0.430705        56.5172        57.1483
       13.6292       0.429787        56.6854        57.2765
       13.7355       0.428952        56.8537         57.407
       13.8426       0.428136        57.5846        57.5398
       13.9492       0.427286        57.7272        57.6739
       14.0549       0.426387        57.8715        57.8094
       14.1599       0.425432        58.0183        57.9474
       14.2636       0.424466        58.1674        58.0878
       14.3667       0.423522        58.3195        58.2318
       14.4716       0.422587         58.478        58.3829
       14.5781       0.421708         58.642        58.5405
       14.6865       0.420856        58.8114        59.8028
       14.7963       0.420016        58.9848        59.9191
       14.9054       0.419155        59.1585        60.0414
       15.0154       0.418234        59.3345        60.1661
       15.1252       0.417294        59.5093        60.2913
        15.236       0.416348        59.6826        60.4172
       15.3473       0.415435        59.8541        60.5423
       15.4574       0.414555        60.0211        60.6661
       15.5661       0.413693        60.1834        60.7884
       15.6745        0.41283        60.3429        60.9106
       15.7833       0.411946        61.0563        61.0342
       15.8938       0.411014        61.1909        61.1614
       16.0048       0.410062        61.3288        61.2913
